application_id,job_id,apply_date,source,screening_score,final_stage,decision_date,outcome
53,161,2023-11-17,LinkedIn,75,screen,2023-11-26,Rejected
54,35,2023-11-07,LinkedIn,57,applied,2023-11-10,Rejected
55,64,2023-08-14,Referral,58,onsite,2023-09-17,Rejected
56,174,2023-07-07,Referral,74,applied,2023-07-15,Rejected
57,172,2023-08-23,Agency,61,onsite,2023-09-19,Rejected
58,45,2023-07-19,Indeed,44,accepted,2023-09-04,Hired
59,79,2023-05-20,Agency,57,accepted,2023-07-03,Hired
60,23,2023-07-16,LinkedIn,55,screen,2023-08-04,Rejected
61,78,2023-04-27,Agency,67,screen,2023-05-20,Rejected
62,95,2023-08-21,LinkedIn,75,applied,2023-09-04,Rejected
63,105,2023-07-05,Referral,84,applied,2023-07-06,Rejected
64,120,2023-05-26,LinkedIn,65,applied,2023-06-07,Rejected
65,77,2023-03-20,Campus,52,applied,2023-03-30,Rejected
66,22,2023-03-01,Referral,55,onsite,2023-04-03,Rejected
67,15,2023-07-05,Career Site,48,screen,2023-07-25,Rejected
68,24,2023-05-19,Career Site,67,applied,2023-05-29,Rejected
69,156,2023-04-24,Indeed,49,applied,2023-04-25,Rejected
70,93,2023-06-30,LinkedIn,65,applied,2023-07-04,Rejected
71,3,2023-07-27,Campus,65,screen,2023-08-19,Rejected
72,139,2023-07-02,Referral,76,onsite,2023-08-08,Rejected
73,37,2023-05-31,LinkedIn,50,onsite,2023-07-09,Rejected
74,144,2023-06-08,LinkedIn,37,screen,2023-06-23,Rejected
75,57,2023-05-27,Agency,54,applied,2023-06-01,Rejected
76,144,2023-06-29,LinkedIn,81,screen,2023-07-13,Rejected
77,124,2023-04-08,Career Site,45,applied,2023-04-19,Rejected
78,39,2023-07-18,Referral,74,screen,2023-08-11,Rejected
79,112,2023-08-07,Referral,72,screen,2023-08-23,Rejected
80,40,2023-08-09,Indeed,55,applied,2023-08-19,Rejected
81,134,2023-05-10,Referral,50,applied,2023-05-11,Rejected
82,56,2023-10-18,LinkedIn,70,onsite,2023-11-26,Rejected
83,127,2023-09-06,Indeed,66,applied,2023-09-10,Rejected
84,8,2023-06-11,Indeed,61,applied,2023-06-16,Rejected
85,149,2023-04-26,LinkedIn,65,applied,2023-05-10,Rejected
86,15,2023-09-05,Campus,62,onsite,2023-10-07,Rejected
87,105,2023-08-16,Indeed,73,applied,2023-08-17,Rejected
88,39,2023-09-21,LinkedIn,85,onsite,2023-10-26,Rejected
89,163,2023-09-06,Indeed,94,accepted,2023-10-19,Hired
90,46,2023-12-25,Referral,99,applied,2023-12-31,Rejected
91,15,2023-07-23,Agency,72,applied,2023-08-04,Rejected
92,44,2023-08-02,Career Site,50,applied,2023-08-08,Rejected
93,124,2023-05-06,Indeed,70,screen,2023-05-27,Rejected
94,60,2023-05-25,Agency,80,applied,2023-06-07,Rejected
95,8,2023-06-03,Agency,68,onsite,2023-06-25,Rejected
96,156,2023-05-10,LinkedIn,67,onsite,2023-06-19,Rejected
97,179,2023-03-16,LinkedIn,52,applied,2023-03-28,Rejected
98,152,2023-08-19,LinkedIn,86,onsite,2023-09-17,Rejected
99,103,2023-04-21,LinkedIn,64,screen,2023-05-12,Rejected
100,141,2023-09-22,LinkedIn,60,applied,2023-09-25,Rejected
101,29,2023-05-11,LinkedIn,48,onsite,2023-06-19,Rejected
102,39,2023-05-21,Referral,66,offer,2023-07-02,Rejected
103,47,2023-09-02,LinkedIn,97,applied,2023-09-10,Rejected
104,133,2023-03-25,Indeed,59,onsite,2023-04-19,Rejected
105,122,2023-05-17,LinkedIn,56,applied,2023-05-28,Rejected
106,162,2023-02-20,Referral,64,onsite,2023-03-18,Rejected
107,15,2023-08-02,Career Site,74,screen,2023-08-20,Rejected
108,165,2023-07-22,Referral,74,onsite,2023-08-26,Rejected
109,163,2023-11-28,Career Site,50,screen,2023-12-14,Rejected
110,148,2023-09-08,Referral,56,onsite,2023-10-15,Rejected
111,171,2023-06-24,Referral,46,applied,2023-07-04,Rejected
112,122,2023-08-15,Agency,75,onsite,2023-09-26,Rejected
113,26,2023-06-28,Career Site,62,screen,2023-07-26,Rejected
114,44,2023-04-15,Indeed,74,accepted,2023-05-09,Hired
115,86,2023-08-07,Indeed,58,screen,2023-08-29,Rejected
116,155,2023-12-25,Indeed,54,applied,2024-01-08,Rejected
117,120,2023-03-24,LinkedIn,79,applied,2023-04-05,Rejected
118,139,2023-05-14,Referral,85,screen,2023-05-27,Rejected
119,177,2023-11-12,LinkedIn,95,onsite,2023-12-14,Rejected
120,147,2023-10-18,Indeed,50,applied,2023-10-28,Rejected
121,148,2023-12-02,Agency,70,applied,2023-12-13,Rejected
122,91,2023-08-23,Career Site,90,applied,2023-08-28,Rejected
123,25,2023-08-15,Agency,42,screen,2023-09-04,Rejected
124,70,2024-04-11,Campus,66,screen,2024-04-21,Rejected
125,97,2023-11-11,Indeed,86,accepted,2023-12-07,Hired
126,45,2023-08-14,LinkedIn,99,accepted,2023-10-11,Hired
127,118,2023-07-03,Indeed,100,applied,2023-07-04,Rejected
128,124,2023-07-13,LinkedIn,64,applied,2023-07-15,Rejected
129,178,2023-08-05,Indeed,82,accepted,2023-09-26,Hired
130,147,2023-07-01,LinkedIn,31,screen,2023-07-24,Rejected
131,119,2023-10-22,Referral,86,applied,2023-11-03,Rejected
132,171,2023-07-30,Career Site,52,applied,2023-08-01,Rejected
133,75,2023-12-07,LinkedIn,63,screen,2023-12-21,Rejected
134,127,2023-09-12,Agency,66,accepted,2023-10-13,Hired
135,34,2023-10-11,Indeed,57,applied,2023-10-25,Rejected
136,112,2023-08-28,Career Site,72,onsite,2023-10-09,Rejected
137,125,2023-07-23,Career Site,65,onsite,2023-09-03,Rejected
138,139,2023-06-29,Campus,48,applied,2023-07-02,Rejected
139,1,2023-06-19,Career Site,85,onsite,2023-07-23,Rejected
140,171,2023-07-29,Indeed,61,applied,2023-08-06,Rejected
141,32,2023-07-31,Indeed,79,applied,2023-08-13,Rejected
142,45,2023-04-23,Referral,44,applied,2023-04-29,Rejected
143,80,2023-06-17,Career Site,100,offer,2023-07-27,Rejected
144,94,2023-09-07,Career Site,59,onsite,2023-10-19,Rejected
145,171,2023-07-19,LinkedIn,67,accepted,2023-08-18,Hired
146,81,2023-03-22,LinkedIn,70,screen,2023-04-15,Rejected
147,178,2023-07-31,Agency,75,applied,2023-08-06,Rejected
148,71,2023-07-22,LinkedIn,48,applied,2023-08-02,Rejected
149,106,2023-10-04,LinkedIn,63,screen,2023-10-22,Rejected
150,24,2023-08-14,Referral,78,screen,2023-09-05,Rejected
151,146,2023-05-05,Career Site,66,onsite,2023-06-03,Rejected
152,9,2023-08-08,Indeed,80,screen,2023-09-01,Rejected
153,96,2023-04-10,LinkedIn,45,applied,2023-04-12,Rejected
154,87,2023-05-22,Referral,72,applied,2023-05-31,Rejected
155,44,2023-07-22,Indeed,55,onsite,2023-08-12,Rejected
156,142,2023-04-17,Referral,87,onsite,2023-05-19,Rejected
157,74,2023-09-22,Agency,78,applied,2023-09-30,Rejected
158,48,2023-05-14,LinkedIn,78,accepted,2023-06-06,Hired
159,28,2023-09-17,LinkedIn,71,onsite,2023-10-19,Rejected
160,8,2023-10-31,LinkedIn,78,applied,2023-11-04,Rejected
161,147,2023-07-14,LinkedIn,57,screen,2023-07-27,Rejected
162,38,2023-08-08,Agency,43,applied,2023-08-15,Rejected
163,70,2024-02-05,Agency,68,applied,2024-02-17,Rejected
164,126,2023-07-12,Indeed,79,applied,2023-07-20,Rejected
165,142,2023-07-06,Referral,79,onsite,2023-08-20,Rejected
166,155,2023-11-06,Referral,78,accepted,2023-12-25,Hired
167,58,2023-05-31,Referral,47,applied,2023-06-02,Rejected
168,168,2023-05-18,Indeed,72,screen,2023-06-11,Rejected
169,123,2023-05-26,Indeed,72,applied,2023-05-30,Rejected
170,40,2023-05-16,LinkedIn,65,screen,2023-05-23,Rejected
171,175,2023-04-01,Indeed,65,applied,2023-04-05,Rejected
172,153,2023-12-30,LinkedIn,55,screen,2024-01-21,Rejected
173,142,2023-08-11,LinkedIn,92,screen,2023-09-04,Rejected
174,102,2023-10-03,LinkedIn,73,screen,2023-10-20,Rejected
175,114,2023-07-20,Agency,92,screen,2023-07-27,Rejected
176,171,2023-08-21,Referral,53,applied,2023-08-26,Rejected
177,37,2023-07-02,LinkedIn,69,applied,2023-07-14,Rejected
178,22,2023-06-07,LinkedIn,54,screen,2023-06-26,Rejected
179,154,2023-08-20,Indeed,38,applied,2023-09-01,Rejected
180,136,2023-06-10,LinkedIn,54,applied,2023-06-12,Rejected
181,150,2023-07-04,Indeed,60,accepted,2023-08-04,Hired
182,62,2023-08-16,Referral,62,screen,2023-09-03,Rejected
183,59,2023-09-12,LinkedIn,93,applied,2023-09-21,Rejected
184,51,2023-06-01,Indeed,54,screen,2023-06-14,Rejected
185,109,2023-08-29,Referral,79,screen,2023-09-25,Rejected
186,57,2023-08-09,LinkedIn,47,onsite,2023-08-28,Rejected
187,165,2023-06-15,LinkedIn,87,screen,2023-06-30,Rejected
188,161,2024-02-14,Referral,80,screen,2024-03-02,Rejected
189,123,2023-05-06,LinkedIn,65,applied,2023-05-10,Rejected
190,138,2023-12-27,LinkedIn,66,onsite,2024-01-27,Rejected
191,122,2023-10-25,Referral,64,onsite,2023-11-12,Rejected
192,176,2023-11-21,Agency,76,applied,2023-12-04,Rejected
193,145,2023-06-16,Referral,82,applied,2023-06-18,Rejected
194,115,2023-07-01,LinkedIn,74,offer,2023-08-09,Rejected
195,95,2023-07-31,Agency,62,applied,2023-08-09,Rejected
196,139,2023-06-25,LinkedIn,44,applied,2023-06-27,Rejected
197,61,2023-07-13,Career Site,83,screen,2023-07-29,Rejected
198,174,2023-04-26,Career Site,49,applied,2023-05-06,Rejected
199,117,2023-05-14,Referral,78,onsite,2023-06-21,Rejected
200,72,2023-05-22,Career Site,46,applied,2023-05-30,Rejected
201,12,2023-08-29,Referral,58,applied,2023-09-06,Rejected
202,97,2023-09-15,Referral,65,applied,2023-09-29,Rejected
203,146,2023-07-16,Career Site,49,applied,2023-07-22,Rejected
204,25,2023-09-17,Career Site,65,onsite,2023-10-18,Rejected
205,15,2023-06-25,Indeed,50,screen,2023-07-13,Rejected
206,137,2023-03-30,Indeed,59,screen,2023-04-19,Rejected
207,123,2023-10-09,Agency,89,applied,2023-10-15,Rejected
208,3,2023-05-29,LinkedIn,83,screen,2023-06-24,Rejected
209,21,2023-11-16,Referral,45,applied,2023-11-17,Rejected
210,111,2023-05-24,Referral,94,screen,2023-06-13,Rejected
211,161,2023-12-21,LinkedIn,39,screen,2024-01-06,Rejected
212,113,2023-04-30,Career Site,70,screen,2023-05-10,Rejected
213,135,2023-10-31,Indeed,40,screen,2023-11-10,Rejected
214,115,2023-06-05,Career Site,55,screen,2023-06-20,Rejected
215,178,2023-10-22,Career Site,67,onsite,2023-11-16,Rejected
216,67,2023-04-20,Referral,73,applied,2023-04-25,Rejected
217,144,2023-10-13,Career Site,69,offer,2023-11-20,Rejected
218,159,2023-01-17,LinkedIn,49,onsite,2023-02-15,Rejected
219,80,2023-08-19,Indeed,59,screen,2023-09-15,Rejected
220,56,2023-12-01,Indeed,55,applied,2023-12-03,Rejected
221,88,2023-06-05,LinkedIn,77,screen,2023-06-23,Rejected
222,173,2023-09-18,LinkedIn,59,screen,2023-09-29,Rejected
223,160,2023-08-18,LinkedIn,70,onsite,2023-09-15,Rejected
224,84,2023-06-23,LinkedIn,61,screen,2023-07-14,Rejected
225,23,2023-07-23,Referral,49,onsite,2023-08-29,Rejected
226,137,2023-05-04,LinkedIn,73,screen,2023-05-15,Rejected
227,49,2023-09-25,Referral,78,onsite,2023-11-05,Rejected
228,29,2023-08-31,LinkedIn,55,screen,2023-09-13,Rejected
229,104,2023-05-12,Career Site,60,offer,2023-06-11,Rejected
230,18,2023-05-12,LinkedIn,70,screen,2023-06-03,Rejected
231,162,2023-07-21,Agency,52,screen,2023-08-09,Rejected
232,36,2023-11-08,Career Site,60,applied,2023-11-21,Rejected
233,88,2023-08-31,Career Site,40,applied,2023-09-13,Rejected
234,103,2023-04-09,LinkedIn,74,applied,2023-04-15,Rejected
235,128,2023-10-06,Referral,78,offer,2023-11-22,Rejected
236,119,2023-10-20,LinkedIn,56,screen,2023-11-08,Rejected
237,33,2023-03-26,Indeed,74,onsite,2023-04-12,Rejected
238,39,2023-04-23,Agency,66,screen,2023-05-08,Rejected
239,70,2024-01-19,Indeed,36,applied,2024-01-31,Rejected
240,43,2023-06-27,Referral,42,accepted,2023-08-02,Hired
241,102,2023-07-26,Agency,68,applied,2023-08-04,Rejected
242,19,2023-09-04,LinkedIn,58,onsite,2023-09-27,Rejected
243,106,2023-10-31,Agency,55,applied,2023-11-03,Rejected
244,111,2023-05-29,Agency,60,applied,2023-06-12,Rejected
245,35,2023-09-11,LinkedIn,71,applied,2023-09-19,Rejected
246,67,2023-07-25,Career Site,39,applied,2023-08-08,Rejected
247,130,2024-08-04,Indeed,69,applied,2024-08-14,Rejected
248,155,2023-11-30,Indeed,56,onsite,2023-12-26,Rejected
249,55,2023-08-10,Indeed,64,applied,2023-08-14,Rejected
250,80,2023-09-15,Career Site,62,accepted,2023-11-04,Hired
251,173,2023-10-06,Indeed,81,applied,2023-10-07,Rejected
252,96,2023-05-19,Referral,46,screen,2023-06-02,Rejected
253,38,2023-09-20,Referral,52,screen,2023-09-30,Rejected
254,97,2024-01-13,LinkedIn,73,applied,2024-01-26,Rejected
255,66,2023-05-15,LinkedIn,65,onsite,2023-06-19,Rejected
256,32,2023-07-06,LinkedIn,86,screen,2023-07-27,Rejected
257,115,2023-09-21,Referral,61,screen,2023-10-16,Rejected
258,92,2023-09-05,LinkedIn,36,applied,2023-09-14,Rejected
259,67,2023-03-29,LinkedIn,56,applied,2023-04-09,Rejected
260,28,2023-05-26,LinkedIn,76,onsite,2023-06-29,Rejected
261,13,2023-10-21,Referral,98,screen,2023-11-05,Rejected
262,83,2023-04-14,Career Site,80,onsite,2023-05-05,Rejected
263,71,2023-04-27,Referral,68,applied,2023-05-01,Rejected
264,23,2023-07-22,Career Site,48,screen,2023-08-18,Rejected
265,78,2023-08-16,Career Site,70,screen,2023-08-25,Rejected
266,92,2023-08-08,Indeed,59,applied,2023-08-15,Rejected
267,88,2023-06-28,LinkedIn,70,screen,2023-07-08,Rejected
268,128,2023-10-21,LinkedIn,44,screen,2023-11-13,Rejected
269,178,2023-08-28,Indeed,59,screen,2023-09-22,Rejected
270,35,2023-12-25,Career Site,66,screen,2024-01-20,Rejected
271,46,2023-10-31,Career Site,61,applied,2023-11-07,Rejected
272,90,2023-07-22,LinkedIn,49,applied,2023-08-05,Rejected
273,64,2023-07-24,Career Site,68,applied,2023-07-29,Rejected
274,144,2023-09-17,Indeed,53,screen,2023-09-26,Rejected
275,109,2023-08-24,LinkedIn,58,applied,2023-09-05,Rejected
276,147,2023-06-25,LinkedIn,59,applied,2023-07-03,Rejected
277,120,2023-04-25,Referral,66,applied,2023-05-03,Rejected
278,27,2023-04-20,Referral,74,screen,2023-05-07,Rejected
279,60,2023-05-29,Referral,68,applied,2023-06-01,Rejected
280,166,2023-07-02,Career Site,51,screen,2023-07-28,Rejected
281,121,2023-07-04,LinkedIn,60,screen,2023-08-01,Rejected
282,48,2023-09-21,Agency,62,accepted,2023-11-12,Hired
283,166,2023-07-08,LinkedIn,92,screen,2023-07-31,Rejected
284,99,2023-05-24,Referral,63,applied,2023-05-25,Rejected
285,23,2023-03-12,LinkedIn,54,screen,2023-03-24,Rejected
286,3,2023-06-13,LinkedIn,79,screen,2023-07-02,Rejected
287,152,2023-10-01,LinkedIn,52,applied,2023-10-14,Rejected
288,70,2024-01-22,Indeed,87,onsite,2024-03-14,Rejected
289,175,2023-09-13,Referral,84,screen,2023-09-30,Rejected
290,130,2024-11-02,LinkedIn,89,onsite,2024-11-22,Rejected
291,139,2023-05-16,LinkedIn,87,screen,2023-06-03,Rejected
292,37,2023-08-16,LinkedIn,46,applied,2023-08-24,Rejected
293,151,2023-07-09,LinkedIn,47,screen,2023-07-27,Rejected
294,107,2023-09-20,Indeed,51,screen,2023-10-06,Rejected
295,142,2023-08-19,Career Site,100,onsite,2023-09-20,Rejected
296,161,2023-12-18,Indeed,78,accepted,2024-01-19,Hired
297,171,2023-06-20,Referral,73,onsite,2023-07-07,Rejected
298,1,2023-08-14,Referral,64,screen,2023-09-07,Rejected
299,79,2023-04-13,Indeed,49,applied,2023-04-22,Rejected
300,26,2023-09-02,LinkedIn,55,screen,2023-10-04,Rejected
301,175,2023-08-03,Agency,50,applied,2023-08-09,Rejected
302,179,2023-06-04,Indeed,83,applied,2023-06-10,Rejected
303,167,2023-09-01,Career Site,72,screen,2023-09-24,Rejected
304,144,2023-07-25,Career Site,37,onsite,2023-08-25,Rejected
305,8,2023-07-17,LinkedIn,42,applied,2023-07-22,Rejected
306,18,2023-09-14,Indeed,95,applied,2023-09-21,Rejected
307,96,2023-04-27,Referral,50,applied,2023-05-10,Rejected
308,44,2023-04-06,LinkedIn,71,onsite,2023-05-19,Rejected
309,145,2023-05-23,Campus,73,screen,2023-06-12,Rejected
310,69,2023-09-05,Agency,48,screen,2023-09-29,Rejected
311,168,2023-05-17,LinkedIn,61,applied,2023-05-31,Rejected
312,48,2023-09-09,Indeed,52,applied,2023-09-19,Rejected
313,4,2023-08-07,Career Site,54,applied,2023-08-08,Rejected
314,62,2023-05-21,LinkedIn,70,applied,2023-05-28,Rejected
315,148,2023-11-02,LinkedIn,72,applied,2023-11-08,Rejected
316,169,2023-12-10,Career Site,60,screen,2023-12-23,Rejected
317,100,2023-12-07,Career Site,71,applied,2023-12-16,Rejected
318,76,2023-07-31,Indeed,56,onsite,2023-09-01,Rejected
319,52,2023-06-12,Career Site,59,applied,2023-06-18,Rejected
320,89,2023-07-05,Agency,69,applied,2023-07-07,Rejected
321,101,2023-09-22,Agency,32,screen,2023-10-08,Rejected
322,23,2023-06-09,Indeed,55,accepted,2023-07-18,Hired
323,159,2023-06-15,Indeed,35,applied,2023-06-27,Rejected
324,122,2023-06-16,LinkedIn,37,onsite,2023-07-17,Rejected
325,164,2023-06-25,LinkedIn,78,applied,2023-06-27,Rejected
326,6,2023-07-09,LinkedIn,45,screen,2023-07-26,Rejected
327,62,2023-09-18,LinkedIn,63,screen,2023-10-09,Rejected
328,102,2023-07-15,LinkedIn,66,applied,2023-07-26,Rejected
329,119,2023-09-12,Campus,98,screen,2023-09-24,Rejected
330,87,2023-04-28,LinkedIn,58,onsite,2023-05-22,Rejected
331,54,2023-08-07,LinkedIn,54,onsite,2023-09-01,Rejected
332,135,2023-12-23,Referral,62,applied,2023-12-26,Rejected
333,3,2023-05-20,Referral,56,applied,2023-05-23,Rejected
334,21,2023-08-16,Career Site,67,applied,2023-08-29,Rejected
335,60,2023-05-26,Referral,100,screen,2023-06-01,Rejected
336,14,2023-04-13,Agency,67,onsite,2023-05-27,Rejected
337,145,2023-03-25,Career Site,52,applied,2023-04-05,Rejected
338,107,2023-05-27,Career Site,57,applied,2023-06-04,Rejected
339,160,2023-03-22,Referral,77,applied,2023-03-30,Rejected
340,128,2023-06-07,LinkedIn,56,onsite,2023-08-03,Rejected
341,124,2023-07-25,Agency,69,screen,2023-08-27,Rejected
342,138,2023-07-23,Referral,65,screen,2023-08-10,Rejected
343,54,2023-09-21,LinkedIn,54,screen,2023-10-05,Rejected
344,117,2023-08-28,Referral,56,applied,2023-09-03,Rejected
345,17,2023-09-09,Career Site,45,screen,2023-09-30,Rejected
346,63,2023-09-10,Agency,45,onsite,2023-10-17,Rejected
347,13,2023-10-25,Career Site,41,screen,2023-11-24,Rejected
348,109,2023-10-10,Referral,61,applied,2023-10-20,Rejected
349,68,2023-05-01,LinkedIn,65,screen,2023-05-21,Rejected
350,157,2023-10-06,LinkedIn,57,screen,2023-10-30,Rejected
351,60,2023-10-09,Indeed,78,screen,2023-10-15,Rejected
352,3,2023-05-15,LinkedIn,83,onsite,2023-06-23,Rejected
353,128,2023-06-20,LinkedIn,61,screen,2023-07-07,Rejected
354,126,2023-08-22,LinkedIn,66,applied,2023-08-30,Rejected
355,167,2023-07-26,Agency,64,screen,2023-08-11,Rejected
356,33,2023-03-25,LinkedIn,56,screen,2023-04-22,Rejected
357,9,2023-10-03,Indeed,46,applied,2023-10-06,Rejected
358,133,2023-06-15,LinkedIn,57,onsite,2023-08-04,Rejected
359,85,2023-08-09,Career Site,64,applied,2023-08-23,Rejected
360,116,2023-06-30,LinkedIn,51,onsite,2023-07-31,Rejected
361,161,2024-01-05,Career Site,56,screen,2024-01-23,Rejected
362,35,2023-11-04,LinkedIn,64,screen,2023-11-18,Rejected
363,109,2023-06-04,Campus,57,accepted,2023-07-10,Hired
364,50,2023-08-22,Campus,51,applied,2023-08-28,Rejected
365,131,2023-08-31,LinkedIn,57,applied,2023-09-13,Rejected
366,13,2023-09-26,LinkedIn,37,applied,2023-10-01,Rejected
367,14,2023-08-04,LinkedIn,94,screen,2023-08-12,Rejected
368,8,2023-07-20,Indeed,47,screen,2023-08-11,Rejected
369,58,2023-07-25,Campus,45,applied,2023-08-04,Rejected
370,104,2023-03-22,Career Site,22,screen,2023-04-06,Rejected
371,12,2023-09-09,Career Site,60,applied,2023-09-13,Rejected
372,17,2023-06-21,Referral,68,onsite,2023-07-15,Rejected
373,59,2023-09-18,LinkedIn,48,applied,2023-09-23,Rejected
374,67,2023-05-25,Indeed,67,screen,2023-06-13,Rejected
375,39,2023-08-12,Career Site,54,screen,2023-09-10,Rejected
376,46,2023-08-21,Indeed,50,applied,2023-09-04,Rejected
377,4,2023-04-21,Referral,67,applied,2023-04-30,Rejected
378,114,2023-10-12,Career Site,62,applied,2023-10-23,Rejected
379,113,2023-09-20,Career Site,48,screen,2023-10-01,Rejected
380,62,2023-04-07,LinkedIn,76,screen,2023-04-17,Rejected
381,169,2023-12-26,Agency,45,screen,2024-01-13,Rejected
382,14,2023-05-26,LinkedIn,34,applied,2023-06-03,Rejected
383,122,2023-07-05,Career Site,89,screen,2023-07-13,Rejected
384,80,2023-09-15,Referral,49,applied,2023-09-26,Rejected
385,60,2023-09-17,LinkedIn,98,onsite,2023-10-24,Rejected
386,75,2023-11-02,Campus,84,applied,2023-11-14,Rejected
387,180,2023-04-06,LinkedIn,63,applied,2023-04-12,Rejected
388,79,2023-02-19,LinkedIn,52,offer,2023-04-02,Rejected
389,169,2024-01-26,LinkedIn,68,applied,2024-01-27,Rejected
390,55,2023-07-10,Referral,51,applied,2023-07-11,Rejected
391,68,2023-05-01,Referral,69,screen,2023-05-26,Rejected
392,162,2023-03-26,LinkedIn,87,applied,2023-03-27,Rejected
393,168,2023-07-03,LinkedIn,56,screen,2023-07-22,Rejected
394,117,2023-03-29,Campus,63,screen,2023-04-17,Rejected
395,169,2023-10-23,LinkedIn,51,applied,2023-10-24,Rejected
396,131,2023-07-19,Referral,73,applied,2023-08-02,Rejected
397,92,2023-05-23,Career Site,81,onsite,2023-06-25,Rejected
398,149,2023-05-31,Career Site,60,applied,2023-06-12,Rejected
399,48,2023-09-08,Indeed,61,applied,2023-09-17,Rejected
400,157,2023-10-06,Career Site,36,applied,2023-10-11,Rejected
401,11,2023-04-18,Referral,77,screen,2023-04-28,Rejected
402,165,2023-04-30,LinkedIn,61,screen,2023-05-17,Rejected
403,37,2023-03-23,Career Site,65,applied,2023-04-01,Rejected
404,101,2023-06-25,Agency,59,applied,2023-06-26,Rejected
405,22,2023-05-14,Referral,76,applied,2023-05-27,Rejected
406,143,2023-02-22,Agency,81,accepted,2023-04-06,Hired
407,77,2023-08-25,LinkedIn,54,applied,2023-09-02,Rejected
408,157,2023-07-02,Referral,52,applied,2023-07-09,Rejected
409,152,2023-07-19,Referral,72,applied,2023-07-24,Rejected
410,10,2023-07-28,LinkedIn,72,applied,2023-08-10,Rejected
411,23,2023-03-06,Career Site,63,screen,2023-03-24,Rejected
412,30,2023-08-03,Indeed,51,onsite,2023-09-10,Rejected
413,170,2023-02-24,Agency,72,screen,2023-03-08,Rejected
414,167,2023-07-23,Indeed,68,screen,2023-08-05,Rejected
415,136,2023-03-17,Referral,68,screen,2023-04-06,Rejected
